Business Action,Suggested GA4 Event,Recommended / Custom,Event Parameters,Item Parameters,User Properties,GTM Trigger,Validation Status,Notes
Product list rendered,view_item_list,Recommended,,,,,,
Product selected,select_item,Recommended,,,,,,
Product detail viewed,view_item,Recommended,,,,,,
Add to cart,add_to_cart,Recommended,,,,,,
Remove from cart,remove_from_cart,Recommended,,,,,,
Cart viewed,view_cart,Recommended,,,,,,
Checkout started,begin_checkout,Recommended,,,,,,
Shipping selected,add_shipping_info,Recommended,,,,,,
Payment selected,add_payment_info,Recommended,,,,,,
Order confirmed,purchase,Recommended,,,,,,
Refund simulated,refund,Recommended,,,,,,
Promotion viewed,view_promotion,Recommended,,,,,,
Promotion clicked,select_promotion,Recommended,,,,,,
Search,search,Recommended,,,,,,
Wishlist toggled,add_to_wishlist,Recommended,,,,,,
Demo login,login,Recommended,,,,,,
